,id,position,average_speed,total_laps,time,points,status,rider.id,rider.full_name,rider.country.iso,rider.country.name,rider.country.region_iso,rider.legacy_id,rider.number,team.id,team.name,team.legacy_id,team.season.id,team.season.year,team.season.current,constructor.id,constructor.name,constructor.legacy_id,gap.first,gap.lap,event_id,event_name
0,d879d945-b5eb-4b32-b77f-b4d2c3394427,1.0,168.2,22,42:13.1980,25,INSTND,ff225c9d-64a2-43ac-a70e-62cf385a85a1,Enea Bastianini,IT,Italy,,8295,,a86166df-d247-4c80-a6eb-2a338e3475c7,Gresini Racing MotoGP,68,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,b9d93efb-3cd0-4681-9de4-c412a866d568,Ducati,110,0.000,0,0561c82b-4738-4bb6-88d0-6df77f002a43,QAT
1,3e67b186-2c09-4005-a67e-63469437d17f,2.0,168.1,22,42:13.5440,20,INSTND,ba579548-f026-402b-a607-38db5317d33f,Brad Binder,ZA,South Africa,,7646,,06be669d-467c-4ca4-885d-27c22ccdcc49,Red Bull KTM Factory Racing,74,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,be77c017-cc37-41eb-aa09-2977f1789b0f,KTM,298,0.346,0,0561c82b-4738-4bb6-88d0-6df77f002a43,QAT
2,dd321bdf-4c1f-43c0-ba6e-5ba403a6f9a1,3.0,168.1,22,42:14.5490,16,INSTND,40c19361-abe5-46e8-bed9-b3fa648dd7ac,Pol Espargaro,ES,Spain,,7086,,9c7b0420-682f-41dd-8176-84f8f6510720,Repsol Honda Team,81,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,3a036648-7b14-4257-8c62-245e47e4d42b,Honda,1,1.351,0,0561c82b-4738-4bb6-88d0-6df77f002a43,QAT
3,35c7f086-3a8b-44c6-a877-f652bacda259,4.0,168.0,22,42:15.4400,13,INSTND,4cff2dfb-2feb-4264-9a17-8a67189c204c,Aleix Espargaro,ES,Spain,,6854,,e118eac7-8c41-4667-bb45-1a5d4b8341bc,Aprilia Racing,78,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,10d5e2bc-4b0b-4875-b936-3962fbb1b877,Aprilia,7,2.242,0,0561c82b-4738-4bb6-88d0-6df77f002a43,QAT
4,613f2b15-e0f0-4c4a-955d-92dca4f1ada4,5.0,167.9,22,42:17.2970,11,INSTND,f55b433d-38b8-4d1d-bb3a-a709c82a0260,Marc Marquez,ES,Spain,,7444,,88b9574b-8a62-4099-87c2-0c8c410d52c0,Repsol Honda Team,91,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,3a036648-7b14-4257-8c62-245e47e4d42b,Honda,1,4.099,0,0561c82b-4738-4bb6-88d0-6df77f002a43,QAT
5,88a752a7-770a-4a02-af1f-5bb3a61f4fb1,6.0,167.8,22,42:18.0410,10,INSTND,9a441928-d1af-452d-afce-fa028c044932,Joan Mir,ES,Spain,,8141,,e2c1ded7-1280-4096-a2fb-cae4e837ebf1,Team SUZUKI ECSTAR,76,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,e1824280-b485-4f63-b176-834bbf47aa1c,Suzuki,2,4.843,0,0561c82b-4738-4bb6-88d0-6df77f002a43,QAT
6,abc58d7c-2d4c-4c70-91b8-a1489f7eccfc,7.0,167.6,22,42:22.0080,9,INSTND,56475aa3-f3d1-485a-b6db-ca1149e1b6fa,Alex Rins,ES,Spain,,8150,,fe3e1100-ed6c-4da1-894d-feb381413d07,Team SUZUKI ECSTAR,79,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,e1824280-b485-4f63-b176-834bbf47aa1c,Suzuki,2,8.810,0,0561c82b-4738-4bb6-88d0-6df77f002a43,QAT
7,17c76b5d-a506-4a7f-8655-be8825079f5f,8.0,167.5,22,42:23.7340,8,INSTND,487440af-cfa9-478a-903b-4e893ee18d3a,Johann Zarco,FR,France,,7236,,e37b36d6-3701-49cf-961f-7734b190d57f,Prima Pramac Racing,62,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,b9d93efb-3cd0-4681-9de4-c412a866d568,Ducati,110,10.536,0,0561c82b-4738-4bb6-88d0-6df77f002a43,QAT
8,77e42284-e295-4104-bf1f-5b6cdc56c1df,9.0,167.5,22,42:23.7410,7,INSTND,fcdd5500-a769-4ff4-8b9e-080d1849ff42,Fabio Quartararo,FR,France,,8520,,841f623b-8c22-4885-b81f-f752923ab9ad,Monster Energy Yamaha MotoGP,66,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,babb4c4c-3608-4811-93ad-3b88cc407547,Yamaha,3,10.543,0,0561c82b-4738-4bb6-88d0-6df77f002a43,QAT
9,c51106d1-4092-4387-8cb7-9304c734670d,10.0,167.2,22,42:28.1650,6,INSTND,201ae7a4-0dc7-4191-be71-d91ac0330090,Takaaki Nakagami,JP,Japan,,6976,,f40f6cc8-a4c3-44e4-a2e8-3e93d9a64f8c,LCR Honda IDEMITSU,72,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,3a036648-7b14-4257-8c62-245e47e4d42b,Honda,1,14.967,0,0561c82b-4738-4bb6-88d0-6df77f002a43,QAT
10,61279f1a-4e1e-460d-846b-7f7f77da9e34,11.0,167.1,22,42:29.9100,5,INSTND,a73f8ef2-784f-4f52-8511-1d315fd3a459,Franco Morbidelli,IT,Italy,,7741,,3da296f9-fa91-4d4f-8e8f-6298b1a9627c,Monster Energy Yamaha MotoGP,67,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,babb4c4c-3608-4811-93ad-3b88cc407547,Yamaha,3,16.712,0,0561c82b-4738-4bb6-88d0-6df77f002a43,QAT
11,bc1fa65d-9e92-4fda-ae9c-482246bdbf91,12.0,166.6,22,42:36.4140,4,INSTND,66ee98b2-239c-487f-8913-aab8493ce280,Maverick Viñales,ES,Spain,,7409,,1e642629-5531-44fd-a271-798d740c00fb,Aprilia Racing,65,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,10d5e2bc-4b0b-4875-b936-3962fbb1b877,Aprilia,7,23.216,0,0561c82b-4738-4bb6-88d0-6df77f002a43,QAT
12,bf12785b-2371-41d4-aedf-2070c8bbee9a,13.0,166.4,22,42:40.4810,3,INSTND,7b0687b0-90bd-4ad6-b157-8c66fb8a93cf,Luca Marini,IT,Italy,,8431,,3bda0b31-3129-416d-ab70-1ae76e22b8d5,Mooney VR46 Racing Team,64,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,b9d93efb-3cd0-4681-9de4-c412a866d568,Ducati,110,27.283,0,0561c82b-4738-4bb6-88d0-6df77f002a43,QAT
13,b43d482f-410b-4698-9d05-8b83959f619f,14.0,166.4,22,42:40.5720,2,INSTND,06989a4b-12bc-4cb5-bad6-bb8dab9097f3,Andrea Dovizioso,IT,Italy,,5885,,a41a8e1f-5b29-46b2-80e7-8a0ab6bf924e,,61,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,babb4c4c-3608-4811-93ad-3b88cc407547,Yamaha,3,27.374,0,0561c82b-4738-4bb6-88d0-6df77f002a43,QAT
14,5d515654-4031-49cd-99fc-2d58db7986b3,15.0,165.5,22,42:54.3050,1,INSTND,09bd7ecd-ee3f-4e20-8efa-c200f724c642,Remy Gardner,AU,Australia,,8513,,d83ab410-4c8e-479b-97fb-40686536c278,Tech3 KTM Factory Racing,88,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,be77c017-cc37-41eb-aa09-2977f1789b0f,KTM,298,41.107,0,0561c82b-4738-4bb6-88d0-6df77f002a43,QAT
15,3bf8ec50-5537-41b9-8655-3720d4cf85db,16.0,165.5,22,42:54.3170,0,INSTND,e38443a0-a5f5-4616-825c-9db2adc24a55,Darryn Binder,ZA,South Africa,,8296,,52eae362-5ebb-4400-8c03-942da97e617c,WithU Yamaha RNF MotoGP Team,77,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,babb4c4c-3608-4811-93ad-3b88cc407547,Yamaha,3,41.119,0,0561c82b-4738-4bb6-88d0-6df77f002a43,QAT
16,cf764ef2-dc60-47c1-a30d-42d7edd912a3,17.0,165.5,22,42:54.5470,0,INSTND,6c33de41-f014-4f17-8dc9-e6f36e61026a,Fabio Di Giannantonio,IT,Italy,,8539,,44ddcab2-bd6e-4893-9976-cf382cfc9116,Gresini Racing MotoGP,82,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,b9d93efb-3cd0-4681-9de4-c412a866d568,Ducati,110,41.349,0,0561c82b-4738-4bb6-88d0-6df77f002a43,QAT
17,9d0d01ef-47af-4fd8-b183-a7096583119d,18.0,165.4,22,42:55.5550,0,INSTND,58448742-f520-466a-a1a1-bf3286cce9c3,Raul Fernandez,ES,Spain,,8269,,d802c7e6-2e9a-47b6-855c-923458904d02,Tech3 KTM Factory Racing,69,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,be77c017-cc37-41eb-aa09-2977f1789b0f,KTM,298,42.357,0,0561c82b-4738-4bb6-88d0-6df77f002a43,QAT
18,9b32ce83-e6b3-4839-8d93-00dfe96c9475,,167.2,11,21:13.8350,0,OUTSTND,9cb55304-0ac1-401c-beb6-1a4f445018a4,Francesco Bagnaia,IT,Italy,,8273,,d33c45c6-ea01-4dde-85df-4e43f527a00e,Ducati Lenovo Team,84,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,b9d93efb-3cd0-4681-9de4-c412a866d568,Ducati,110,0.000,11,0561c82b-4738-4bb6-88d0-6df77f002a43,QAT
19,555888aa-92e8-48f1-af36-1668cd7fc162,,167.2,11,21:13.8000,0,OUTSTND,5cbd7eb6-ccfc-4b9f-aad1-ede25d394f7b,Jorge Martin,ES,Spain,,8146,,8e4e557e-b895-447e-bae5-4252ec2ac108,Prima Pramac Racing,90,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,b9d93efb-3cd0-4681-9de4-c412a866d568,Ducati,110,0.000,11,0561c82b-4738-4bb6-88d0-6df77f002a43,QAT
20,4917bc97-2e85-4259-bf19-d2697ed95ce1,,166.9,10,19:19.8860,0,OUTSTND,1abd2de7-9046-4d0a-88e3-ad801dcc235b,Miguel Oliveira,PT,Portugal,,7199,,a4e65cf0-a69c-4f97-8781-1864b0826b19,Red Bull KTM Factory Racing,89,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,be77c017-cc37-41eb-aa09-2977f1789b0f,KTM,298,0.000,12,0561c82b-4738-4bb6-88d0-6df77f002a43,QAT
21,d8c2afa5-eba9-4ccb-9f0b-ad2d35a8f5d0,,166.6,9,17:25.7820,0,OUTSTND,e7e4c72e-952e-4f64-8e8a-a47ff590fade,Alex Marquez,ES,Spain,,8173,,14841302-a4a0-41bc-9071-618d19d0196d,LCR Honda CASTROL,86,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,3a036648-7b14-4257-8c62-245e47e4d42b,Honda,1,0.000,13,0561c82b-4738-4bb6-88d0-6df77f002a43,QAT
22,0e994317-3aba-4a56-808a-f8bdaf8f3363,,165.4,6,11:42.3060,0,OUTSTND,6e940243-5167-4cc3-a343-a74337369b94,Jack Miller,AU,Australia,,8049,,4e10b734-1e8f-418f-a2d7-7178d2887366,Ducati Lenovo Team,80,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,b9d93efb-3cd0-4681-9de4-c412a866d568,Ducati,110,0.000,16,0561c82b-4738-4bb6-88d0-6df77f002a43,QAT
23,c8dc9f93-1109-4a5e-911d-05edb1cf095b,,165.6,6,11:41.3210,0,OUTSTND,ab06dbae-7d6e-47c3-b63f-b7ac6b7d3bcd,Marco Bezzecchi,IT,Italy,,8688,,6ddef163-59fe-4f82-90e8-e12bbd981c54,Mooney VR46 Racing Team,85,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,b9d93efb-3cd0-4681-9de4-c412a866d568,Ducati,110,0.000,16,0561c82b-4738-4bb6-88d0-6df77f002a43,QAT
0,a254e049-da76-442f-ba37-d10d05e43173,1.0,154.2,20,33:27.2230,25,INSTND,1abd2de7-9046-4d0a-88e3-ad801dcc235b,Miguel Oliveira,PT,Portugal,,7199,,a4e65cf0-a69c-4f97-8781-1864b0826b19,Red Bull KTM Factory Racing,89,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,be77c017-cc37-41eb-aa09-2977f1789b0f,KTM,298,0.000,0,0964b830-bed9-48be-9abe-fb44195f97eb,INA
1,488be80a-2202-4f1e-a14a-cf6b489ad74d,2.0,154.1,20,33:29.4280,20,INSTND,fcdd5500-a769-4ff4-8b9e-080d1849ff42,Fabio Quartararo,FR,France,,8520,,841f623b-8c22-4885-b81f-f752923ab9ad,Monster Energy Yamaha MotoGP,66,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,babb4c4c-3608-4811-93ad-3b88cc407547,Yamaha,3,2.205,0,0964b830-bed9-48be-9abe-fb44195f97eb,INA
2,8065dd01-0e31-4a4b-9b7c-7f75806c3221,3.0,154.0,20,33:30.3810,16,INSTND,487440af-cfa9-478a-903b-4e893ee18d3a,Johann Zarco,FR,France,,7236,,e37b36d6-3701-49cf-961f-7734b190d57f,Prima Pramac Racing,62,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,b9d93efb-3cd0-4681-9de4-c412a866d568,Ducati,110,3.158,0,0964b830-bed9-48be-9abe-fb44195f97eb,INA
3,4956198b-71e9-4604-aab3-f34d693c64b9,4.0,153.8,20,33:32.8860,13,INSTND,6e940243-5167-4cc3-a343-a74337369b94,Jack Miller,AU,Australia,,8049,,4e10b734-1e8f-418f-a2d7-7178d2887366,Ducati Lenovo Team,80,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,b9d93efb-3cd0-4681-9de4-c412a866d568,Ducati,110,5.663,0,0964b830-bed9-48be-9abe-fb44195f97eb,INA
4,98bb91e1-1714-4885-b630-dbce284cb9c0,5.0,153.7,20,33:34.2670,11,INSTND,56475aa3-f3d1-485a-b6db-ca1149e1b6fa,Alex Rins,ES,Spain,,8150,,fe3e1100-ed6c-4da1-894d-feb381413d07,Team SUZUKI ECSTAR,79,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,e1824280-b485-4f63-b176-834bbf47aa1c,Suzuki,2,7.044,0,0964b830-bed9-48be-9abe-fb44195f97eb,INA
5,d59e5374-a868-4cea-bfd6-fb79144b7659,6.0,153.6,20,33:35.0550,10,INSTND,9a441928-d1af-452d-afce-fa028c044932,Joan Mir,ES,Spain,,8141,,e2c1ded7-1280-4096-a2fb-cae4e837ebf1,Team SUZUKI ECSTAR,76,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,e1824280-b485-4f63-b176-834bbf47aa1c,Suzuki,2,7.832,0,0964b830-bed9-48be-9abe-fb44195f97eb,INA
6,7a27b3b3-c72a-4627-a1f8-85efdb7f7e0c,7.0,152.6,20,33:48.3380,9,INSTND,a73f8ef2-784f-4f52-8511-1d315fd3a459,Franco Morbidelli,IT,Italy,,7741,,3da296f9-fa91-4d4f-8e8f-6298b1a9627c,Monster Energy Yamaha MotoGP,67,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,babb4c4c-3608-4811-93ad-3b88cc407547,Yamaha,3,21.115,0,0964b830-bed9-48be-9abe-fb44195f97eb,INA
7,861db936-ee10-4827-87e6-f7b524d2794a,8.0,151.8,20,33:59.6360,8,INSTND,ba579548-f026-402b-a607-38db5317d33f,Brad Binder,ZA,South Africa,,7646,,06be669d-467c-4ca4-885d-27c22ccdcc49,Red Bull KTM Factory Racing,74,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,be77c017-cc37-41eb-aa09-2977f1789b0f,KTM,298,32.413,0,0964b830-bed9-48be-9abe-fb44195f97eb,INA
8,fb9817c3-c85f-4459-a321-04e925c61468,9.0,151.8,20,33:59.8090,7,INSTND,4cff2dfb-2feb-4264-9a17-8a67189c204c,Aleix Espargaro,ES,Spain,,6854,,e118eac7-8c41-4667-bb45-1a5d4b8341bc,Aprilia Racing,78,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,10d5e2bc-4b0b-4875-b936-3962fbb1b877,Aprilia,7,32.586,0,0964b830-bed9-48be-9abe-fb44195f97eb,INA
9,73b805a7-1a3e-4144-9ab5-7236572a92ed,10.0,151.7,20,34:00.1240,6,INSTND,e38443a0-a5f5-4616-825c-9db2adc24a55,Darryn Binder,ZA,South Africa,,8296,,52eae362-5ebb-4400-8c03-942da97e617c,WithU Yamaha RNF MotoGP Team,77,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,babb4c4c-3608-4811-93ad-3b88cc407547,Yamaha,3,32.901,0,0964b830-bed9-48be-9abe-fb44195f97eb,INA
10,30d76a06-b0ee-4ac0-af37-cec7dfac143e,11.0,151.7,20,34:00.3390,5,INSTND,ff225c9d-64a2-43ac-a70e-62cf385a85a1,Enea Bastianini,IT,Italy,,8295,,a86166df-d247-4c80-a6eb-2a338e3475c7,Gresini Racing MotoGP,68,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,b9d93efb-3cd0-4681-9de4-c412a866d568,Ducati,110,33.116,0,0964b830-bed9-48be-9abe-fb44195f97eb,INA
11,1c57b9ae-ad84-4a6d-ae81-c755cb17839c,12.0,151.7,20,34:00.8220,4,INSTND,40c19361-abe5-46e8-bed9-b3fa648dd7ac,Pol Espargaro,ES,Spain,,7086,,9c7b0420-682f-41dd-8176-84f8f6510720,Repsol Honda Team,81,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,3a036648-7b14-4257-8c62-245e47e4d42b,Honda,1,33.599,0,0964b830-bed9-48be-9abe-fb44195f97eb,INA
